name,WATER REQUIREMENT,change,,,
Acanthocereus Tetragonus (Fairy Castle Cactus),The best way to water your Acanthocereus tetragonus is by watering it thoroughly and then let the plant dry out completely before attempting towateragain.,occasionally,,,
Adiantum - Maidenhair Fern,"While it needs to be kept moist as part of its maidenhair fern care, you need to be careful not to over-water the plant. Give it a good soaking and the maidenhair fern will eventually produce new leaves.",usually,,,
Aglaonema 'Harlequin',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Lady Valentine',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Lucky',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Siti',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Snow White',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'Tricolor',"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema 'White Valentine',"Water thoroughly during hot weather and mist the plant often to raise the humidity. During cooler seasons, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Cutlass (Chinese Evergreen),"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Ernesto,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Mongkron Yoke,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Pictum Tricolor," Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Red Valentine,Keep soil moist but do not waterlog.,occasionally,,,
Aglaonema Siam Aurora,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Silver Bay,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Star,"Water thoroughly during hot weather and mist the plant often to raise the humidity. During cooler seasons, reduce watering but do not let the plant dry out completely.",usually,,,
Aglaonema Super White,"Water thoroughly in the summer and mist the plant often to raise the humidity. During the winter, reduce watering but do not let the plant dry out completely.",usually,,,
Alocasia 'Black Ninja',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia 'Hilo Beauty' (Hilo Beauty Elephant Ear),"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Amazonica,Allow at least the top half of the plant to dry out before watering again. Over-watering can lead to root rot and fungal infections.,usually,,,
Alocasia Baginda 'Dragon Scale',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Bambino Arrow,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Cucullata 'Crinkles',Lots of Water.,usually,,,
Alocasia Cuprea,"On average, you'll be watering your Alocasia cuprea plant two to three times a week.",occasionally,,,
Alocasia Green Velvet 'Frydek' (Alocasia Micholitziana),"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Lauterbachiana,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Pink Dragon,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Polly,"Water the Alocasia Polly often enough to keep the soil consistently moist. The exact watering schedule depends on the time of year and current climate. For example, it might be necessary to water your Polly every one or two days during the dry heat in the summer, but only every few weeks during the rainy season.",usually,,,
Alocasia Scalprum,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Silver Dragon, Water 1-2 times a week.,occasionally,,,
Alocasia Sinuata,"Keep Alocasia plants moist all year; they are water-loving plants. You want to keep the soil moist, but not soggy.",occasionally,,,
Alocasia Watsoniana 'Ripple',"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Alocasia Wentii,"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Aloe 'Mini Belle',Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Aloe Arborescens Variegated (Candelabra Aloe),Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Aloe Mitriformis Perfoliata,"Water when the compost gets dry, but make sure it never sits in excess water for any length of time.",occasionally,,,
Aloe Vera 'Barbadensis Miller',Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Alpinia Zerumbet Variegated (Shell Ginger),"Water regularly to keep the soil surface moist, but not soggy.",usually,,,
Alternanthera Ficoidea 'Snow In The Mountain',Water the plants often enough to keep the soil from completely drying out.,usually,,,
Anacampseros Rufescens (Sunrise),"Anacampseros rufescens has low water requirements. Allow the soil to dry out partially between waterings. Water thoroughly but infrequently, ensuring the water reaches the root zone. Reduce watering during the dormant period or cooler months.",occasionally,,,
Anacampseros Telephiastrum Sunset," Sunrise has typical watering needs for a succulent, but it is sensitive to over-watering. It s best to use the ¡°soak and dry¡± method, and allow the soil to dry out completely between waterings.",occasionally,,,
Anthurium Andraeanum PINK (Flamingo Flower)," The more light & warmth, the more often yours will need watering. Let it almost completely dry out before watering it again.",usually,,,
Anthurium Andraeanum RED (Flamingo Flower)," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Black Love," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Clarinervium (ECUADOR),Although the plant loves moisture it does not need regular watering. Overwatering will make the plant roots soggy and deter its growth.,occasionally,,,
Anthurium Clarinervium (HOLLAND),"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Anthurium Forgetii,"The plant should remain slightly moist throughout the growing season. If the soil is wet, refrain from watering.",usually,,,
Anthurium Magnifum,"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Anthurium Pallidiflorum (Strap Leaf Anthurium),Water is the most crucial element of plant care for Anthurium Pallidiflorum. You can easily mess it up because houseplants are sensitive to over and underwatering.,usually,,,
Anthurium Regale,"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Anthurium Sempre," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Vanilla," The more light & warmth, the more often yours will need watering. Because they re epiphytes, don t keep your anthurium constantly wet.",usually,,,
Anthurium Veitchii,"You must note how they grow as their roots are literally exposed to air and dry out as quickly as they get wet. If the potting mix and the planter you ve used drain excellently well then yes, you can water regularly.",usually,,,
Asparagus Fern (Asparagus Setaceus),"Keeping an asparagus fern hydrated takes a little effort. If the plant appears to be turning brown and droopy, it likely needs more water in the soil.",occasionally,,,
Asplenium 'Crispy Wave',"Keep their compost moist, but don't let the plant become soggy. Water the soil rather than the plant.",occasionally,,,
Asplenium 'Crissie Amy',"Keep their compost moist, but don't let the plant become soggy. Water the soil rather than the plant.",occasionally,,,
Asplenium Bulbiferum (Mother Spleenwort),"Asplenium bulbiferum has moderate water requirements. Keep the soil consistently moist, but avoid waterlogging. Water the plant when the top inch of soil feels slightly dry. Reduce watering during the plant's dormant winter months, allowing the soil to dry out more between waterings.",occasionally,moderate,,
Asplenium Crocodylus (Crocodile Fern),"Keep their compost moist, but don't let the plant become soggy. Water the soil rather than the plant.",occasionally,,,
Asplenium Manila,Water before soil feels dry to the touch. Keep soil moist but not waterlogged.,occasionally,,,
Asplenium Nidus,Water before soil feels dry to the touch. Keep soil moist but not waterlogged.,occasionally,,,
Asplenium Venus (Birdnest Fern),"Keep their compost moist, but don't let the plant become soggy. Water the soil rather than the plant.",occasionally,,,
Assorted Cactus (3208), Soak the soil completely then let the soil dry out completely before watering again.,occasionally,,,
Assorted Cactus (3209), Soak the soil completely then let the soil dry out completely before watering again.,occasionally,,,
Assorted Cactus (Glass Cup), Soak the soil completely then let the soil dry out completely before watering again.,occasionally,,,
Assorted Succulent (2342),"It is recommended to test the soil with a finger when the top 1.25 inches are dry, grab your watering can. Overwatering can kill your succulents, so make sure you let the soil dry between waterings.",occasionally,,,
Bamboo Palm (Chamaedorea Seifrizii),"The bamboo palm plant likes to have consistently moist soil, but should never be allowed to sit in wet or soggy soil. You should aim to water your bamboo palm in a way that will keep the soil at a level of moisture that is only just perceptible in order to avoid overwatering and causing root rot.",occasionally,,,
Begonia Masoniana (Iron Cross),"The main rule of thumb forwatering begonias is to not let the soil dry out completely. Avoid overwatering, which will cause the foliage to turn yellow and eventually drop.",occasionally,,,
Begonia Rex Vine (Cissus Discolor),Water the plant regularly during the active growth period of the spring and summer. Don't allow the soil to dry out completely.,occasionally,,,
Betel Leaf (Daun Sirih) Piper Siriboa,Betel leaf needs regular watering to grow.,usually,,,
Bird Eye Chilli (Capsicum Annuum),"While ornamental peppers exhibit limited drought tolerance, they do not like to be waterlogged either. Water whenever the soil's surface feels dry, and aim for a moisture level like that of a wrung-out sponge.",occasionally,,,
Blechnum Gibbum (Dwarf Tree Fern),"Water actively growing ferns plentifully, as often as necessary to keep the mixture thoroughly moist, but never allow the pot to stand in water.",usually,,,
Blue Pea Vine (Clitoria Ternatea),"Compared to xeric plants, which are adapted to drier conditions, blue pea vine is a mesic plant, which means that it needs an abundance of water and consistently moist soil for healthy growth.",usually,,,
Boston Fern (Nephrolepis Exaltata),Frequent likes moist soil.,usually,,,
Brachychiton Rupestris (Japan),"Average water needs,watering when the top 3 cm of soil has dried out",occasionally,,,
Brain Cactus (Cristata),"Most cacti don t require a lot of water, and the brain cactus is no exception. Excess water can get in the folds of the crests and quickly rot it, so be careful when watering.",occasionally,,,
Bryophyllum Daigremontiana (Mother Of Thousands),Water only when soil is dry.,occasionally,,,
Caladium 'New Wave Redish',"When leaves appear, keep the plant evenly moist. Never allow it to dry out.",usually,,,
Caladium 'Peppermint',"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium 'Red Beret',"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium 'Red Ruffle',"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium 'Red',"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium 'Water Edge',"When leaves appear, keep the plant evenly moist. Never allow it to dry out.",usually,,,
Caladium Bi-Color,"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium Debutante,"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium Humboldtii (Angel Wing),"Caladiums enjoy evenly moist soil, however, make sure that the soil is damp but not soggy. Water your Caladium thoroughly when the top inch of soil is dry, usually about once a week.",occasionally,thoroughly,,
Caladium Lemon Blush," When leaves appear, keep the plant evenly moist. Never allow it to dry out.",usually,,,
Caladium Lindenii,"When leaves appear, keep the plant evenly moist. Never allow it to dry out.",usually,,,
Caladium Thai Beauty,"When leaves appear, keep the plant evenly moist. Never allow it to dry out.",usually,,,
Calathea 'White Fusion',Moist soil but not soggy.,usually,,,
Calathea Freddie,"Like all houseplants, it enjoys filtered or dechlorinated water and can be a little more demanding than other houseplants. Simply fill your watering can and leave it overnight to dissipate the chlorine.",usually,,,
Calathea Gandersii,Moist soil but not soggy.,usually,,,
Calathea Lancifolia (Rattlesnake Plant),Moist soil but not soggy.,usually,,,
Calathea Leopardina,"Like all houseplants, calathea enjoy filtered or dechlorinated water and can be a little more demanding than other houseplants. Simply fill your watering can and leave it overnight to dissipate the chlorine.",occasionally,,,
Calathea Makoyana (Peacock Plant),During the growing season water the plant thoroughly and keep the soil moist (remember this plant loves moisture). If you can - use tepid rain or distilled water and avoid cold hard water.,occasionally,,,
Calathea Network,"Like all houseplants, calathea enjoy filtered or dechlorinated water and can be a little more demanding than other houseplants. Simply fill your watering can and leave it overnight to dissipate the chlorine.",occasionally,,,
Calathea Orbifolia,"Maintain moist soil with regular watering, but do not let the soil become soggy. Use filtered, distilled, or rainwater ideally.",occasionally,,,
Calathea Ornata 'Sanderiana' (Pinstripe Plant),"They like to have moist soil or planting substances, but not soggy. They do not want lots of water, as it can drown them.",occasionally,,,
Calathea Picturata Crimson,"Calathea must be kept in damp soil at all times, but definitely do not allow the plant to sit in water or in very wet soil.",usually,,,
Calathea Roseopicta 'Medallion',"They like to have moist soil or planting substances, but not soggy. They do not want lots of water, as it can drown them.",usually,,,
Calathea Roseopicta (Dottie)," They like to have moist soil or planting substances, but not soggy. They do not want lots of water, as it can drown them.",usually,,,
Calathea Roseopicta (Rosy),"Maintain moist soil with regular watering, but do not let the soil become soggy. Use filtered, distilled, or rainwater ideally.",usually,,,
Calathea Vittata,"They like to have moist soil or planting substances, but not soggy. They do not want lots of water, as it can drown them.",usually,,,
Callisia Rosato 'Pink Lady',"These plants like to be kept fairly moist, so water regularly, especially if you are growing them in containers.",usually,,,
Camellia ," Water young shrubs deeply to encourage the root system to spread downward. Once the tree is mature, it needs less water. In time, you may not have to irrigate at all.",occasionally,,,
Camellia ," Water young shrubs deeply to encourage the root system to spread downward. Once the tree is mature, it needs less water. In time, you may not have to irrigate at all.",occasionally,,,
Cereus Hildmannianus Variegated,Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Chlorophytum Bonnie Caribbean (Spider Plant),"Keep well-watered, aiming for lightly moist soil throughout the growing season.",usually,,,
Chlorophytum Comosum - Green Edge (Spider Plant),Weekly watering is sufficient. Too much water will kill the plant.,usually,,,
Christia Obcordata (Swallow Tail),Water at least twice weekly.,occasionally,,,
Citrus Limon 'Lisbon Lemon' (Japan),"Citrus limon 'Lisbon Lemon' has moderate water requirements. Keep the soil evenly moist, especially during the growing season. Water the plant when the top inch of soil feels slightly dry. Reduce watering during the plant's dormant winter months, allowing the soil to dry out more between waterings.",usually,season,moist,moderate
Clivia (Natal Lily), It needs regular watering but should be allowed to become dry to the touch between waterings.,usually,,,
Coleus Scutellarioides,Keep evenly moist. Avoid soggy soil with good drainage. Do not allow it to get completely dry.,usually,,,
Colocasia Esculenta 'Coal Miner' (Elephant Ear),"Water the soil well. Give the plant extra water during the dry season, aiming for at least 1 inch per week, including rain.",occasionally,,,
Colocasia Esculenta 'Illustris' (Elephant Ear),"They require regular watering, particularly during dry summer periods.",usually,,,
Columnea SP (Flying Goldfish Plant),"Plant it in potting soil that contains peat moss. In the spring, summer and fall, allow the soil to dry down to a depth of 2 inches between waterings.",occasionally,,,
Cordyline (Ti Plant),Only after the soil dries completely.,occasionally,,,
Cordyline Australis 'Electric Pink' (Japan),"Cordyline australis 'Electric Pink' has moderate water requirements. Keep the soil evenly moist, especially during the growing season. Water the plant when the top inch of soil feels dry. Reduce watering during the plant's dormant winter months, allowing the soil to dry out more between waterings.",usually,moist,moderate,
Cordyline Terminalis (Ti Plant),"Water the plant with a hose or soaker to keep the foliage dry. If you use a sprinkler, water early in the day to allow the foliage to dry before evening. Damp foliage and cooler nighttime temperatures place the plant at higher risk for fungal problems. Always water immediately after fertilizing. Provide ti with approximately 1 inch of water every week that it doesn't rain, as the plant grows naturally in areas with high rainfall. Although the ti plant is moderately drought-tolerant, don't allow the soil to become bone-dry, as excessively dry soil may cause the leaf tips to turn brown.",occasionally,,,
Costus Woodsonii,Watering is average. Avoid if possible getting the foliage wet when watering.,occasionally,,,
Cotyledon Tormentosa (Bear's Paw),Water when the top of the soil is dry down about 1-2 inches. If possible choose a pot with a drainage hole to allow the water to drain after you add water to the soil.,occasionally,,,
Crassula Capitella (Assorted),Water when the soil is completely dry. Water deeply until the excess water comes out of the drip holes in the bottom of the pot.,occasionally,,,
Crassula Ovata (Jade Plant),"Crassula ovata has low to moderate water requirements. Allow the soil to dry out partially between waterings. Water thoroughly, but avoid overwatering as it can cause root rot. Adjust watering frequency based on the season and environmental conditions.",usually,,,
Croton Banana (Codiaeum Variegatum),"During the growing season, watering should be regular to keep the soil moist. If the soil becomes too soggy or rich, it may affect the plants negatively.",usually,,,
Croton Petra (Codiaeum Variegatum),Water about once a week and let it dry out entirely between watering. It loves humidity so either mist weekly or place in a well-lit bathroom with plenty of moisture.,occasionally,,,
Cryptanthus Fosterianus,Twice a week. Waterwhen the top layer of the earth starts to become slightly dry.,occasionally,,,
Culantro Thai Parsley (Eryngium Foetidum),"Even though the soil moisture needed for the optimal health of a plant can vary from herb to herb, culantro requires that you keep the soil moist evenly. Also, ensure that water is moderate.",occasionally,,,
Curry Leaves (Murraya Koenigii),This is aplantthat will grow well with a once-a-weekwatering.,occasionally,,,
Curved Stem Everfresh Tree (Pithecellobium Confertum) JAPAN,"When the soil is not completely dry to the touch yet, water to complete soil saturation to maintain the health of the tree. If the leaves remain closed during the day it can indicate that the plant is dehydrating.",occasionally,,,
Davallia Fejeensis Fern (Rabbit's Foot),"Keep the potting mix lightly moist at all times. This Mediterranean fern needs slightly less water than its rainforest cousins, so take care not to overwater.",occasionally,,,
Dieffenbachia 'Sparkle' (Dumbcane),"Water regularly, discarding excess water. Allow soil to dry out slightly before watering.",usually,,,
Dieffenbachia Americano (Dumbcane),"Water regularly, discarding excess water. Allow soil to dry out slightly before watering.",usually,,,
Dieffenbachia Cheetah (Dumbcane),"Water regularly, discard excess water. Allow soil to dry out slightly before watering.",usually,,,
Dieffenbachia Compacta (Dumbcane),"Water regularly, discarding excess water. Allow soil to dry out slightly before watering.",usually,,,
Dieffenbachia Exotica,"Dieffenbachia Exotica has moderate water requirements. Keep the soil consistently moist, but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Reduce watering during the dormant winter months, allowing the soil to dry out more between waterings.",occasionally,moderate,,
Dieffenbachia Starbright (Dumbcane),"Water this plant often enough to keep the soil lightly moist, but never wet or soggy. Keep the saucer under the plant empty so that the roots don't sit in water.",occasionally,,,
Dieffenbachia Sterling (Dumbcane),"Water regularly, discarding excess water. Allow soil to dry out slightly before watering.",usually,,,
Dieffenbachia Tropic Marianne,"Water regularly, discarding excess water. Allow soil to dry out slightly before watering.",usually,,,
Dischidia Nummularia (String Of Nickels),Allow soil to dry between thorough waterings.,occasionally,,,
Dischidia Oiantha 'Silver Star',Allow soil to dry between thorough waterings.,occasionally,,,
Dracaena Compacta,"When in moderate light conditions, the plant can be watered every second week. When watering, do so until the point where the water starts to trickle into the drip tray and then stop.",occasionally,,,
Dracaena Draco - Single Stem (Dragon Tree),"Water the plant thoroughly once a week, allowing the water to run through the container completely.",occasionally,,,
Dracaena Florida Beauty,These plants benefit from a little drying time between waterings. So water well and then wait for the top inch of the soil to dry out before watering again.,occasionally,,,
Dracaena Fragrance 'Compacta' Variegated,"When in moderate light conditions, the plant can be watered every second week. When watering, do so until the point where the water starts to trickle into the drip tray and then stop.",occasionally,,,
Dracaena Fragrans (Iron Plant),These plants benefit from a little drying time between waterings. Water well and then wait for the top inch of the soil to dry out before watering again.,occasionally,,,
Dracaena Fragrans - Multi Stems (Iron Plant),These plants benefit from a little drying time between waterings. Wait for the top inch of the soil to dry out before watering again.,occasionally,,,
Dracaena Reflexa (Song Of India),"Water the plant thoroughly once a week, allowing the water to run through the container completely.",occasionally,,,
Dracaena Song Of India,"Water the plant thoroughly once a week, allowing the water to run through the container completely.",occasionally,,,
Dracaena Surculosa 'Lindl',These plants benefit from a little drying time between waterings. So water well and then wait for the top inch of the soil to dry out before watering again.,occasionally,,,
Dracaena Thailoides,These plants benefit from a little drying time between waterings. So water well and then wait for the top inch of the soil to dry out before watering again.,occasionally,,,
Drynaria Rigidula (Basket Fern),"As a rule, they prefer 1 to 2 inches of water a week, but this also depends on the soil and the growth rate. Allow the soil surface to dry out between watering.",occasionally,,,
English Ivy 'Chicago' (Hedera Helix)," A variegated ivy thrives when its soil is moistened thoroughly, then the top 12 inch of soil is allowed to dry to the touch before the next watering. Placing its pot on a tray of moistened pebbles or misting the plant every day or two can help increase humidity and keep it growing well.",usually,,,
English Ivy 'Variegated' (Hedera Helix)," A variegated ivy thrives when its soil is moistened thoroughly, then the top 12 inch of soil is allowed to dry to the touch before the next watering. Placing its pot on a tray of moistened pebbles or misting the plant every day or two can help increase humidity and keep it growing well.",usually,,,
Epipremnum Aureum (Money Plant),Water when the soil feels dry to the touch.,occasionally,,,
Epipremnum Golden (Money Plant),The soil around Golden Pothos should be kept relatively moist but take care not to over-water. It has a shallow root system which means that less actually is more when watering as less water is needed to saturate the soil down to the lowest roots.,usually,,,
Epipremnum Golden Queen (Money Plant),The soil around Golden Pothos should be kept relatively moist but take care not to over-water. It has a shallow root system which means that less actually is more when watering as less water is needed to saturate the soil down to the lowest roots.,usually,,,
Epipremnum Hanging Pot (Manjula),Water when the soil feels dry to the touch.,occasionally,,,
Epipremnum Manjula (Money Plant),Water when the soil feels dry to the touch.,occasionally,,,
Epipremnum Marble Queen (Money Plant),Water when the soil feels dry to the touch.,occasionally,,,
Epipremnum Njoy (Money Plant),Water when the soil feels dry to the touch.,occasionally,,,
Epipremnum Pinnatum Albo Variegata (Money Plant),"Water every 5 to 7 days depending on light and temperature. Keep soil evenly moist, but not soggy.",occasionally,,,
Epipremnum Pinnatum Albo Variegata With Plant Support,"Water every 5 to 7 days depending on light and temperature. Keep soil evenly moist, but not soggy.",occasionally,,,
Epipremnum With Plant Supporter (Money Plant),Water when the soil feels dry to the touch.,occasionally,,,
Episcia Cupreta 'Xantha' (Flame Violet),Keep soil evenly moist spring through fall; slightly drier in winter.,usually,,,
Everfresh Tree (Pithecellobium Confertum) JAPAN,"When the soil is not completely dry to the touch yet, water to complete soil saturation to maintain the health of the tree. If the leaves remain closed during the day it can indicate that the plant is dehydrating.",usually,,,
Fairy Castle Cactus (Cereus Tetragonus),"Fairy Castle Cactus has low water requirements. Allow the soil to dry out completely between waterings. Water sparingly, thoroughly saturating the soil and then letting it dry out. Adjust watering frequency based on the season and environmental conditions.",usually,,,
Fancaria Tigrina (Tiger Jaws),Weekly watering will be sufficient. Ensure soil drys out in between each watering session.,occasionally,,,
Ficus 'Amstel King' (Ficus Alii Tree),Water a Ficus Alii when the top 1 inch of the soil has dried out. Water well so that excess water drains out the drip holes in the bottom of the pot.,usually,,,
Ficus Altisiima Variegata (Bending)," Can go up to 3 weeks without watering in the winter. Water when the soil is dry, as this plant can tolerate drought, and avoid overwatering.",occasionally,,,
Ficus Altissima (JAPAN)," Can go up to 3 weeks without watering in the winter. Water when the soil is dry, as this plant can tolerate drought, and avoid overwatering.",occasionally,,,
Ficus Altissima Golden," Water thoroughly onceperweek and allow excess water to run out the drainage holes in the nursery pot or whichever vessel you transplant into, however, avoid overwatering. Water moderately.",usually,,,
Ficus Benghalensis (Indian Banyan),"Stick your finger into the potting mix about an inch and if it feels dry, water. Always water thoroughly until the water runs from the bottom drain holes.",usually,,,
Ficus Benghalensis Variegata,"Stick your finger into the potting mix about an inch and if it feels dry, water. Always water thoroughly until the water runs from the bottom drain holes.",usually,,,
Ficus Elastica 'Burgundy',"It requires a very humid, moist environment. Spray them regularly especially if the plant is surrounded by heated air.",usually,,,
Ficus Elastica 'Ruby',"Spray them regularly especially if the plant is surrounded by heated air. During the growing season, water moderately with lukewarm water.",occasionally,,,
Ficus Elastica 'Shivereana',"It requires a very humid, moist environment. Spray them regularly especially if the plant is surrounded by heated air.",usually,,,
Ficus Elastica Robusta,"Spray them regularly especially if the plant is surrounded by heated air. During the growing season, water moderately with lukewarm water.",usually,,,
Ficus Elastica Tineke,"It requires a very humid, moist environment. Spray them regularly especially if the plant is surrounded by heated air.",usually,,,
Ficus Elastica Variegata,"It requires a very humid, moist environment. Spray them regularly especially if the plant is surrounded by heated air.",usually,,,
Ficus Lyrata,"Water them when the top inch of soil feels dry. If the plant doesn t get enough water, its leaves will wilt and lose their bright green color.",usually,,,
Ficus Lyrata Compacta,"Water them when the top inch of soil feels dry. If it gets too much water, the plant might drop its leaves and suffer from root rot, which ultimately can kill it.",usually,,,
Ficus Lyrata Topiary,"Water them when the top inch of soil feels dry. If the plant doesn t get enough water, its leaves will wilt and lose their bright green color.",usually,,,
Ficus Pumila 'White Sunny' Variegata,"Keep steadily moist, but don't allow it to sit in water or it will drop leaves and suffer from root rot.",usually,,,
Ficus Rubiginosa Australis (Bending)," Can go up to 3 weeks without watering in the winter. Water when the soil is dry, as this plant can tolerate drought, and avoid overwatering.",occasionally,,,
Ficus Triangularis Variegata,Waterthe triangleficuswhen its potting soil is dry to the touch. Soak the soil slowly untilwaterruns from the bottom of the plant's pot.,occasionally,,,
Ficus Umbellata,Water moderately.,usually,,,
Fishtail Fern (Microsorum Punctatum),"This cultivar is fast-growing and requires little maintenance. Water regularly to keep the soil moist, but not soggy.",usually,,,
Fittonia Albivenis (Mosaic Plant),Keeping the plant appropriately moist most of the time. Fittonia is prone to collapse if it's allowed to dry out.,usually,,,
Foxtail Fern (Asparagus Densiflorus),WATER REQUIREMENT,usually,,,
Gasteria Bicolor (Lawyer's Tongue),Needs very little water.,occasionally,,,
Gasteria Gracilis Variegata,Needs very little water.,occasionally,,,
Geranium Aralia (Polyscias Guilfoylei),Geranium Aralia has moderate water requirements. Keep the soil evenly moist but not overly saturated. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,occasionally,moderate,,
Gloxinia,"Every two or three days, you need to feel around the base of your plant to check the soil. Only water the gloxinia when the soil seems dry beyond a half-inch.",occasionally,,,
Golden Boston Fern (Nephrolepis Exaltata),Frequent likes moist soil.,usually,,,
Graptophyllum Pictum (Tricolor Caricature Plant)," In the summer, abundant watering is required, especially in conditions of high air temperature. With insufficient moisture, the leaves quickly lose the turgor, which, as a rule, is restored after watering.",usually,,,
